Register,PassiveType,Aux,PP
Written,BE-pp,been,asked
Written,BE-pp,been,asked
Written,BE-pp,was,asked
Written,BE-pp,be,asked
Written,BE-pp,are,asked
Written,BE-pp,being,asked
Written,BE-pp,being,asked
Written,BE-pp,was,asked
Written,BE-pp,were,asked
Written,BE-pp,being,asked
Written,BE-pp,was,asked
Written,BE-pp,be,asked
Written,BE-pp,be,asked
Written,BE-pp,be,asked
Written,BE-pp,was,asked
Written,BE-pp,be,asked
Written,BE-pp,was,asked
Written,BE-pp,being,asked
Written,BE-pp,being,asked
Written,BE-pp,was,asked
Written,BE-pp,are,asked
Written,BE-pp,being,asked
Written,BE-pp,been,asked
Written,BE-pp,are,asked
Written,BE-pp,being,asked
Written,BE-pp,were,asked
Written,BE-pp,be,asked
Written,BE-pp,be,asked
Written,BE-pp,were,asked
Written,BE-pp,be,asked
Written,BE-pp,was,asked
Written,BE-pp,was,asked
Written,BE-pp,was,asked
Written,BE-pp,was,asked
Written,BE-pp,be,asked
Written,BE-pp,being,asked
Written,BE-pp,been,asked
Written,BE-pp,was,asked
Written,BE-pp,is,asked
Written,BE-pp,was,asked
Written,BE-pp,was,asked
Written,BE-pp,is,asked
Written,BE-pp,are,asked
Written,BE-pp,was,asked
Written,BE-pp,been,asked
Written,BE-pp,been,asked
Written,BE-pp,was,asked
Written,BE-pp,been,asked
Written,BE-pp,was,asked
Written,BE-pp,was,asked
Written,BE-pp,been,asked
Written,BE-pp,is,asked
Written,BE-pp,was,asked
Written,BE-pp,were,asked
